TrapEvent,Location,Elevation,Site Type,ElevationCat,habitat,ColMeth,Bait,Day0,Mon0,Year0,Time0,Day1,Mon1,Year1,Day_out,Time1,SWD_Male,SWD_Female,other_Drosophila_non-native,Total,Suzukii Total,No_of_Days,Proportions,Prop_male,Prop_female,Host_Genus,Host_Species,Trap in tact?,Notes
SWD084,HAVO04b,1023,b,4,lava,Trap,YeastSugar,3,5,2016,1340,17,5,2016,14,1340,0,0,4,4,0,0,0,0,0,,,Y,
SWD085,HAVO05a,1371,a,5,forest,Trap,YeastSugar,3,5,2016,1430,17,5,2016,14,1430,24,26,21,71,50,3.57,0.7,1.714285714,1.857142857,,,Y,
SWD086,HAVO05b,1588,b,5,lava,Trap,YeastSugar,3,5,2016,1450,17,5,2016,14,1450,3,2,2,7,5,0.36,0.71,0.214285714,0.142857143,,,Y,
SWD087,HAVO06a,1742,a,6,forest,Trap,YeastSugar,3,5,2016,1520,17,5,2016,14,1520,1,1,1,3,2,0.14,0.67,0.071428571,0.071428571,,,Y,
SWD088,HAVO06b,1754,b,6,lava,Trap,YeastSugar,3,5,2016,1530,17,5,2016,14,1530,3,6,2,11,9,0.64,0.82,0.214285714,0.428571429,,,Y,
SWD089,HAVO07a,2060,a,7,forest,Trap,YeastSugar,3,5,2016,1730,17,5,2016,14,1730,0,0,0,0,0,0,0,0,0,,,Y,
SWD090,HAVO07b,2049,b,7,lava,Trap,YeastSugar,3,5,2016,1750,17,5,2016,14,1750,7,6,2,15,13,0.93,0.87,0.5,0.428571429,,,Y,
SWD091,HAVO01a,735,a,1,forest,Trap,YeastSugar,17,5,2016,720,1,6,2016,15,720,41,29,22,92,70,4.67,0.76,2.733333333,1.933333333,,,Y,
SWD092,HAVO01b,742,b,1,lava,Trap,YeastSugar,17,5,2016,740,1,6,2016,15,740,7,4,19,30,11,0.73,0.37,0.466666667,0.266666667,,,Y,
SWD093,HAVO02a,787,a,2,forest,Trap,YeastSugar,17,5,2016,815,1,6,2016,15,815,24,21,19,64,45,3,0.7,1.6,1.4,,,Y,
SWD094,HAVO02b,779,b,2,lava,Trap,YeastSugar,17,5,2016,800,1,6,2016,15,800,3,3,1,7,6,0.4,0.86,0.2,0.2,,,Y,
SWD095,HAVO03a,885,a,3,forest,Trap,YeastSugar,17,5,2016,1000,1,6,2016,15,1000,6,0,1,7,6,0.4,0.86,0.4,0,,,Y,
SWD096,HAVO03b,901,b,3,lava,Trap,YeastSugar,17,5,2016,1030,1,6,2016,15,1030,5,3,9,17,8,0.53,0.47,0.333333333,0.2,,,Y,
SWD097,HAVO04a,1007,a,4,forest,Trap,YeastSugar,17,5,2016,1320,1,6,2016,15,1320,6,2,6,14,8,0.53,0.57,0.4,0.133333333,,,Y,
SWD098,HAVO04b,1023,b,4,lava,Trap,YeastSugar,17,5,2016,1340,1,6,2016,15,1340,2,1,4,7,3,0.2,0.43,0.133333333,0.066666667,,,Y,
SWD099,HAVO05a,1371,a,5,forest,Trap,YeastSugar,17,5,2016,1430,1,6,2016,15,1430,0,0,0,0,0,0,0,0,0,,,Y,
SWD100,HAVO05b,1588,b,5,lava,Trap,YeastSugar,17,5,2016,1450,1,6,2016,15,1450,5,5,13,23,10,0.67,0.43,0.333333333,0.333333333,,,Y,
SWD101,HAVO06a,1742,a,6,forest,Trap,YeastSugar,17,5,2016,1520,1,6,2016,15,1520,2,1,5,8,3,0.2,0.38,0.133333333,0.066666667,,,Y,
SWD102,HAVO06b,1754,b,6,lava,Trap,YeastSugar,17,5,2016,1530,1,6,2016,15,1530,3,3,8,14,6,0.4,0.43,0.2,0.2,,,Y,
SWD103,HAVO07a,2060,a,7,forest,Trap,YeastSugar,17,5,2016,1730,1,6,2016,15,1730,2,7,4,13,9,0.6,0.69,0.133333333,0.466666667,,,Y,
SWD104,HAVO07b,2049,b,7,lava,Trap,YeastSugar,17,5,2016,1750,1,6,2016,15,1750,1,1,3,5,2,0.13,0.4,0.066666667,0.066666667,,,Y,
SWD105,HAVO01a,735,a,1,forest,Trap,YeastSugar,1,6,2016,720,15,6,2016,14,720,31,22,21,74,53,3.79,0.72,2.214285714,1.571428571,,,Y,
SWD106,HAVO01b,742,b,1,lava,Trap,YeastSugar,1,6,2016,740,15,6,2016,14,740,3,5,2,10,8,0.57,0.8,0.214285714,0.357142857,,,Y,
SWD107,HAVO02a,787,a,2,forest,Trap,YeastSugar,1,6,2016,815,15,6,2016,14,815,1,1,1,3,2,0.14,0.67,0.071428571,0.071428571,,,Y,
SWD108,HAVO02b,779,b,2,lava,Trap,YeastSugar,1,6,2016,800,15,6,2016,14,800,0,0,0,0,0,0,0,0,0,,,Y,
SWD109,HAVO03a,885,a,3,forest,Trap,YeastSugar,1,6,2016,1000,15,6,2016,14,1000,11,4,17,32,15,1.07,0.47,0.785714286,0.285714286,,,Y,
SWD110,HAVO03b,901,b,3,lava,Trap,YeastSugar,1,6,2016,1030,15,6,2016,14,1030,15,9,2,26,24,1.71,0.92,1.071428571,0.642857143,,,Y,
